ID	Capability domain	Capability	Historical evidence	Evidence class / confidence	Current CTR behavior	Current source / test evidence	Current deployment status	Restoration status	Intentional modern divergence	Remaining gap	Target decision	Restoration lane	Citizen impact	GitHub issue	Notes (recon CTR mapping)
IDENT-03	Identity & Citizen Lifecycle	Moderation record (EXT/EXM/EXL/MPL)	citizen/excl.cfg, excl_upd.cfg	PROVEN_SOURCE	`banned` boolean + ban history	member.model.ts:40; /admin/banhistory; spa/src/pages/admin/user/BanHistory.vue	Deployed @ba8c6a3	PRESENT_PARTIAL	Attribution exists via ban history	No moderation level or expiry	restore	ADMIN-A1	none	#21	admin/user/infoview.vue, BanHistory
IDENT-04	Identity & Citizen Lifecycle	Privacy / appear-hidden	privacy fields on member	PROVEN_SOURCE	Privacy / hide-yourself	member privacy fields; roster visibility rules	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	/member/get_privacy, update_privacy, roster service
IDENT-05	Identity & Citizen Lifecycle	Avatar selection and upload	uploadavt CGI, 433 requests	PROVEN_PRODUCTION_USE	Avatar selection + upload with approval queue	/admin/avatars/{approve,reject}; spa/src/pages/admin/avatar/search.vue	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	avatar service, AvatarUploadModal, admin approve/reject
IDENT-06	Identity & Citizen Lifecycle	Experience / XP progression	exper.cfg, M.EXP field	PROVEN_SOURCE	XP progression on deployed-config rates	api/src/libs/economy.ts:48,64,78	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	Rates corrected to DEPLOYED_RUNTIME_CONFIG (5/21 daily, +50 first homestead)	-	no action	-	low - values differ	-	member.experience, income_xp
IDENT-07	Identity & Citizen Lifecycle	Virtual pets	vpet CGI, 233 requests	PROVEN_PRODUCTION_USE	Virtual pets	spa pet components	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	virtual_pet repository, HomeVirtualPet.vue
HOME-01	Homes & Property	Property view	property?ac=place, 380231 requests	PROVEN_PRODUCTION_USE	Property view	api/src/controllers/home.controller.ts	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	home service, HomePage/HomeTools
HOME-02	Homes & Property	My house	property?ac=myhouse	PROVEN_SOURCE	My house	api/src/services/home/home.service.ts	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	HomeTools.vue
HOME-03	Homes & Property	Generic read/list dispatcher (the edit CGI) - the busiest endpoint	edit CGI, 2332853 requests, 21.1% of all traffic; 567 Wayback captures show ac=read 500 / ac=list 128 / forgot 6 / chpass 6 over DTY=B,I,CL,P rendering arbitrary TPL: club/info_links, club/showrules, club/showinfo, citizen/memrol, citizen/list, citizen/info, block/textlist, common/updownerrights, community/colonies, msb/feedback, property/updateinfo	PROVEN_PRODUCTION_USE	Function distributed across typed CTR routes	api/src/routes/*.ts	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	A single generic `edit` dispatcher over arbitrary DTY/TPL is replaced by typed routes -- deliberate; the historical shape was an injection surface	-	no action	-	low - the surfaces exist in CTR, the generic dispatcher does not	-	no single equivalent - function spread across ClubDoor.vue, Directory.vue, MessageBoard.vue, AccessRights.vue and the block pages
HOME-04	Homes & Property	Home customisation / update	edit POST verbs, 14452 POSTs; property/updateinfo among edit's captured templates	PROVEN_PRODUCTION_USE	HomeUpdatePage / HomeUpdateHomePage	spa home update pages	Deployed @ba8c6a3	PRESENT_PARTIAL	-	Coverage against the historical `edit` POST verbs never verified -- audit before treating as a gap	restore	BACKLOG-P3	medium	#26	HomeUpdatePage, HomeUpdateHomePage
HOME-05	Homes & Property	Home image upload	e_propimageupload, dbimages	PROVEN_SOURCE	Home image upload	api/src/services/home/home.service.ts:284,413	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	HomeUpdateImagePage, home image moderation migrations
HOME-06	Homes & Property	Home chat access rights	home chat rights templates	PROVEN_SOURCE	Home chat access rights	place access service	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	HomeChatAccessPage.vue
HOME-07	Homes & Property	Member home static pages	/home/<id>/, 148182 requests over 4074 paths	PROVEN_PRODUCTION_USE	Homes render from live data	api/src/repositories/home	n/a	CONTENT_GAP_ONLY	n/a	Historical static home pages are unrecoverable: 1 of 1,571 targets recovered, 1,568 proven 404	restore	ASSET-EXTERNAL	visible - 1708 of 4074 survive; Wayback adds only 1 (1568 of the 'missing' are proven historical 404s, not lost files)	#23	served from CTR home records
HOME-08	Homes & Property	Designer homes catalogue and purchase	object/deshomes/housebuy.cfg, /deshom/	PROVEN_SOURCE	Home purchase exists; no designer catalogue	api/src/controllers/home.controller.ts	Deployed @ba8c6a3	PRESENT_PARTIAL	-	Designer homes catalogue absent	restore	BACKLOG-P3	medium	#26	home-design repository
HOME-09	Homes & Property	Home purchase debit / refund	object/housebuy.cfg *ADD M MON -TPR	PROVEN_SOURCE	Purchase debit + refund, atomic	TransactionReason.HomePurchase / HomeRefund; home.repository.ts:64 forUpdate	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	createHomePurchaseTransaction, createHomeRefundTransaction
HOME-10	Homes & Property	Property move fee	money.cfg m_property_move 50	PROVEN_SOURCE	Move is free	api/src/services/home/home.service.ts:152; economy.ts:88-96	n/a	MISSING_ACTIONABLE	-	50 CC charge (`m_property_move`) not applied	restore	ECON-F2	trivial	#19	no move fee in CTR
HOME-11	Homes & Property	Home-to-home trade between citizens	object/trade1.cfg, trade2.cfg with HTR1-HTR4	PROVEN_SOURCE	No home-to-home trade	n/a	n/a	MISSING_ACTIONABLE	-	Citizen-to-citizen home trade absent	restore	BACKLOG-P3	medium	#26	no CTR equivalent
NAV-01	Places & Navigation	Site root and framesets	/, main_ieframes.html, main_nsframes.html	PROVEN_PRODUCTION_USE	Vue SPA	spa/src/	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	Framesets replaced by an SPA -- not a target for reversal	-	no action	-	none	-	SPA shell
NAV-02	Places & Navigation	Colony navigation	community?ac=place&DTY=C, 42530 requests	PROVEN_PRODUCTION_USE	Colony navigation	api/src/repositories/colony/colony.repository.ts	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	colony service, colonyMap.vue
NAV-03	Places & Navigation	Neighbourhood navigation	neighbor?ac=place, 35976 requests	PROVEN_PRODUCTION_USE	Neighbourhood navigation	api/src/repositories/hood/hood.repository.ts	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	hood service, NeighborhoodPage
NAV-04	Places & Navigation	Block navigation	block?ac=place, 61655 requests	PROVEN_PRODUCTION_USE	Block navigation	block routes/services	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	block service, BlockPage, BlockMapPage
NAV-05	Places & Navigation	Place menu and place view	place?ac=menu / ac=place, 693467 requests	PROVEN_PRODUCTION_USE	Place menu and place view	api/src/services/place/place.service.ts	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	place service, place components
NAV-06	Places & Navigation	City map	campus map, colony maps	PROVEN_ASSET	City map	map_location; place map backgrounds	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	CityMapPage.vue, map_location
NAV-07	Places & Navigation	Rotating page banners	/comtech/*, 1157418 requests over 24 paths	PROVEN_PRODUCTION_USE	No rotating banners	n/a	n/a	MISSING_ACTIONABLE	-	24 banner paths, 1,157,418 historical requests; cosmetic	restore	HIST-UI	cosmetic; 6 of 24 images also lost	#25	no CTR equivalent
NAV-08	Places & Navigation	Static info and help trees	/info/ 399 paths, /help/ 517 paths	PROVEN_PRODUCTION_USE	Partial info/help content	spa static pages	Deployed @ba8c6a3	PRESENT_PARTIAL	-	399 /info/ and 517 /help/ paths historically	restore	BACKLOG-P3	medium - content volume differs sharply	#26	Information.vue, HowDoI.vue
3D-01	3D World, Chat & Presence	VRML world delivery	/places/**.wrl, 302072 requests over 5692 paths	PROVEN_RUNTIME	VRML world delivery	nginx static /places	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	world-browser pages, libs/vrml
3D-02	3D World, Chat & Presence	Java / BXApplet delivery	/java/contact/classes2.zip, 29462 requests	PROVEN_RUNTIME	Modern 3D client	n/a	n/a	NOT_RESTORATION_TARGET	Java/BXApplet delivery is not a restoration target	Obsolete plugin technology	not a target	-	none	-	not applicable - CTR uses modern web 3D
3D-03	3D World, Chat & Presence	Multiuser presence	cpserver / soserver	PROVEN_RUNTIME	Socket presence	ct-socket service	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	socket presence layer
3D-04	3D World, Chat & Presence	Live chat round trip	cpserver	PROVEN_RUNTIME	Live chat round trip	ct-socket service	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	Chat.vue, socket layer
3D-05	3D World, Chat & Presence	Shared objects placed in worlds	SO rows, 31034 place-drops, 2125049 instances	PROVEN_RUNTIME	Shared objects placed in worlds	object repository; place drops	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	object-instance service
3D-06	3D World, Chat & Presence	Avatar state / gestures	blaxxun Contact client	LIKELY	Avatar state	socket presence payload	Deployed @ba8c6a3	PRESENT_PARTIAL	-	Gesture parity unverified (recon confidence LIKELY, not proven)	restore	-	low	-	partial in socket layer
ECON-01	CityCash Economy & Experience	CityCash balance per citizen	M.MON, 8-digit zero-padded hex, 32-bit unsigned	PROVEN_SOURCE	`wallet.balance INT UNSIGNED`	api/src/types/models/wallet.model.ts	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	Native integer replaces 8-char zero-padded hex `M.MON`; overflow is checked, not wrapped	-	no action	-	none	-	wallet.balance INT UNSIGNED, member.wallet_id
ECON-02	CityCash Economy & Experience	Balance display to citizen	bank/phase1.tmpl, fundbox, object/display.cfg	PROVEN_SOURCE	Balance displayed to citizen	spa wallet display	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	balance surfaced in SPA
ECON-03	CityCash Economy & Experience	Native declarative money engine	*ADD M ID <id> MON +/-<amt> with TMPM scratch guard	PROVEN_SOURCE	Knex increment/decrement inside transactions	transfer.repository.ts:193-194; credit.repository.ts:235	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	Replaces the declarative `*ADD M ... MON` engine and its TMPM scratch guard; parameterised, no shell interpolation	-	no action	-	none - CTR is stronger	-	knex transactions with FOR UPDATE and increment()
ECON-04	CityCash Economy & Experience	Transaction ledger	no historical ledger table; logs + Inbox receipts only	PROVEN_SOURCE	Durable `transaction` ledger table	api/src/types/models/transaction.model.ts	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	CTR EXCEEDS history: Cybertown had no ledger table at all, only logs and inbox receipts	-	no action	-	none - CTR is stronger	-	transaction table with typed reason
ECON-05	CityCash Economy & Experience	Citizen-visible transaction history	two Inbox receipts per transfer written by phase3.pl	PROVEN_SOURCE	Ledger rows exist; admin-only UI	spa/src/pages/admin/user/TransactionHistory.vue	Deployed @ba8c6a3	PRESENT_PARTIAL	-	No citizen-facing transaction history	restore	HIST-TXN	high - citizens cannot see their own history	#20	admin-only: admin/transactions, admin/user/TransactionHistory
ECON-06	CityCash Economy & Experience	Daily login CityCash credit	money.cfg m_member_daily_login 80; money.log 1082 events	PROVEN_PRODUCTION_USE	80 CC daily login	api/src/libs/economy.ts:48 DAILY_CC = 80	Deployed @ba8c6a3	RESTORED	-	-	no action	-	low but wrong amount	-	CreditRepository.giveDailyCredit, 50 CC
ECON-07	CityCash Economy & Experience	Daily job CityCash credit	money.cfg m_job_daily_login 256; money.log 1046 events	PROVEN_PRODUCTION_USE	336 CC employed daily total	api/src/libs/economy.ts:57 DAILY_CC_EMPLOYED	Deployed @ba8c6a3	RESTORED	-	-	no action	-	low but wrong amount	-	employed daily credit 100 CC total
ECON-08	CityCash Economy & Experience	Periodic bulk payroll sweep	34974 change-money rows on 2010-12-31 hour 00 across 34972 member IDs, +48656105 net, modal 1400 with role-graded tail	PROVEN_PRODUCTION_USE	Weekly role payroll cron	api/src/cron/role-credit.ts; role.income_cc/income_xp	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	CTR runs its own weekly cadence and rates	Historical cadence and per-member rule unknown	restore	Q7	low - cadence and rates unknown	#22	cron/role-credit.ts, role.income_cc, weekly
ECON-13	CityCash Economy & Experience	Periodic fee or charge on members	679 members debited 20 in the same 2010-12-31 sweep	PROVEN_PRODUCTION_USE	No periodic debit	n/a	n/a	UNKNOWN_TARGETED_RECON_REQUIRED	-	679 members debited exactly -20 in the 2010-12-31 sweep; purpose unidentified	targeted recon	Q7	low - purpose unidentified	#22	no CTR equivalent
ECON-09	CityCash Economy & Experience	Immigration grant	money.cfg m_immigrate 20000	PROVEN_SOURCE	20,000 CC immigration grant, ledgered	api/src/libs/economy.ts:73; member.repository.ts:67-70	Deployed @ba8c6a3	RESTORED	-	-	no action	-	low	-	wallet default balance 1000
ECON-10	CityCash Economy & Experience	Referrer bonus	money.cfg m_referer 2000	PROVEN_SOURCE	Constant recorded, deliberately unwired	api/src/libs/economy.ts:81-87 REFERRER_BONUS_CC	n/a	MISSING_ACTIONABLE	-	No referral concept exists: no column, no table, no signup parameter	restore	ECON-F1	low	#18	no CTR equivalent
ECON-11	CityCash Economy & Experience	Timer bonus / minimum-balance reset	money.cfg m_member_bonus 10, m_member_reset 1000	PROVEN_SOURCE	No timer bonus / balance reset	n/a	n/a	NOT_RESTORATION_TARGET	-	`m_member_bonus` 10 / `m_member_reset` 1000 exist in config; no evidence either ever ran	not a target	-	none - zero events in the 2010 log year	-	no CTR equivalent
ECON-12	CityCash Economy & Experience	Interest, loans, tax, rent, salary	searched; no evidence in any source	PROVEN_SOURCE	No interest, loans, tax, rent or salary	n/a	n/a	NOT_RESTORATION_TARGET	-	Searched every source; no evidence these existed	not a target	-	none - never existed	-	no CTR equivalent
BANK-01	Bank (citizen transfer)	Citizen-to-citizen CityCash transfer	bank/phase1-3 templates + phase3.pl; 55 logged transfers	PROVEN_PRODUCTION_USE	Citizen-to-citizen CityCash transfer	api/src/services/bank/bank.service.ts; POST /bank/transfer	Deployed @ba8c6a3	RESTORED	-	-	restore	BANK-A1	very high - the owner-reported complaint	DONE	MemberToMember enum value referenced by zero code
BANK-02	Bank (citizen transfer)	Bank 2D transfer console UI	bank/phase1.tmpl form, phase2 confirm, phase3 receipt; 11 console chrome slices recovered under places/fundbox/images sha256-verified and dimension-identical to the bank templates; a live Wayback render of the sibling fundbox console survives	PROVEN_ASSET	Bank transfer console	spa/src/components/modals/BankTransferModal.vue	Deployed @ba8c6a3	RESTORED	-	Functional; period-pixel alignment outstanding	restore	HIST-UI	very high - but the artwork to rebuild it now exists	#25	bank/main2d.vue renders one static JPEG
BANK-03	Bank (citizen transfer)	Bank information / help page	places/bank/info.html	PROVEN_ASSET	No Bank help page	n/a	n/a	MISSING_ACTIONABLE	-	`places/bank/info.html` not reproduced	restore	HIST-UI	low	#25	no CTR equivalent
BANK-04	Bank (citizen transfer)	3D Bank world with 3 CC transfer machines	places/bank/vrml/bank.wrl 193963 bytes	PROVEN_ASSET	No 3D Bank world	n/a	n/a	CONTENT_GAP_ONLY	-	`places/bank/vrml/bank.wrl` (193,963 B) not deployed as a world	restore	HIST-UI	medium	#25	no CTR equivalent
BANK-05	Bank (citizen transfer)	Transfer memo / reason free text	TO_NAM max 30 chars; present in all 288 logged transfers	PROVEN_PRODUCTION_USE	Memo, max 30 chars	transaction.model.ts `memo`; bank.service.ts	Deployed @ba8c6a3	RESTORED	-	-	restore	BANK-A1	high - receipts are meaningless without it	DONE	transaction table has no memo column
BANK-06	Bank (citizen transfer)	Transfer receipts to both parties	phase3.pl writes two DB I I Inbox rows	PROVEN_SOURCE	Receipts to both parties	transfer.repository.ts:333	Deployed @ba8c6a3	RESTORED	-	-	restore	BANK-A1	high	DONE	inbox exists but no transfer writes it
BANK-07	Bank (citizen transfer)	Both-parties-must-own-a-home precondition	phase3.pl length(FROM_HOM)<15 and length(TO_HOM)<15 guards	PROVEN_SOURCE	Both parties must own a home	bank.service.ts TransferRefusal sender-no-home / recipient-no-home	Deployed @ba8c6a3	RESTORED	-	Historical precondition kept by owner decision	restore	BANK-A1	low - policy decision	DONE	no CTR equivalent
BANK-08	Bank (citizen transfer)	Insufficient-funds refusal	phase3.pl fromcash >= TO_AMT	PROVEN_SOURCE	Insufficient-funds refusal	bank.service.ts `insufficient-funds`	Deployed @ba8c6a3	RESTORED	-	-	restore	BANK-A1	medium	DONE	unsigned column would error, no friendly path
BANK-09	Bank (citizen transfer)	Debit rollback on failed credit	phase3.pl rollback branch	PROVEN_SOURCE	Single atomic DB transaction	transfer.repository.ts:193-194	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	No rollback branch to get wrong -- debit and credit commit or roll back together, replacing the historical no-rollback path	-	no action	-	none - CTR is stronger	-	knex transaction makes this structural
BANK-10	Bank (citizen transfer)	Transfer audit log	bank_transfers.log, 55 rows with both closing balances	PROVEN_PRODUCTION_USE	Durable ledger row + idempotency key	transaction.model.ts; UNIQUE idempotency index	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	A queryable ledger replaces an append-only text log	-	no action	-	none	-	transaction rows, no closing balance
PCASH-01	PlaceCash / Fundbox	Place-owned balance	O.MON on place/object records; Bank place 0000000000000041 held 781069509	PROVEN_PRODUCTION_USE	Wallet has no place holder	wallet.model.ts is `{balance}` only	n/a	MISSING_ACTIONABLE	-	Place-owned balance absent	restore	CASH-A2	high - blocks all place finance	#17	wallet has no owner discriminator; places cannot hold money
PCASH-02	PlaceCash / Fundbox	Neighbourhood-owned balance	N.MON in fundbox/phase0.cfg	PROVEN_SOURCE	No neighbourhood wallet	wallet.model.ts	n/a	MISSING_ACTIONABLE	-	Neighbourhood-owned balance absent	restore	CASH-A2	medium	#17	no CTR equivalent
PCASH-09	PlaceCash / Fundbox	Colony-owned balance	recovered Wayback render of fundbox/phase7 targets DTY=C ID=0105000000000000 NAM Inner Realms; fundbox configs address the target generically as <$DTY> + <$ID>	PROVEN_ASSET	No colony wallet	wallet.model.ts	n/a	MISSING_ACTIONABLE	-	Colony-owned balance absent (DTY=C)	restore	CASH-A2	medium	#17	no CTR equivalent
PCASH-10	PlaceCash / Fundbox	Fundbox executor authorization - owneraccess to pay out or deposit, writeaccess to donate	fundbox/phase3.tmpl and phase6.tmpl #ifdef owneraccess; phase9.tmpl #ifdef writeaccess with an ACCESS DENIED fallthrough; all after *ACR	PROVEN_SOURCE	No Fundbox authorization	n/a	n/a	MISSING_ACTIONABLE	-	Per-phase owner/write access distinction absent	restore	CASH-A2	low - but it is the historical authorization spec for lane B2	#17	CTR place_role_access exists but no fundbox to gate
PCASH-03	PlaceCash / Fundbox	Fundbox console - 9 phases	fundbox/phase0,0a,1-9,99 templates and configs	PROVEN_SOURCE	No Fundbox console	n/a	n/a	MISSING_ACTIONABLE	-	Nine-phase console absent	restore	CASH-A2	high	#17	no CTR equivalent
PCASH-04	PlaceCash / Fundbox	Place-to-member payout	phase3dep.pl, placecash_transfers.log 47 rows	PROVEN_PRODUCTION_USE	No place-to-member payout	n/a	n/a	MISSING_ACTIONABLE	-	Payout flow absent	restore	CASH-A2	high	#17	no CTR equivalent
PCASH-05	PlaceCash / Fundbox	Member-to-place deposit	phase6dep.pl, placecash_deposits.log	PROVEN_SOURCE	No member-to-place deposit	n/a	n/a	MISSING_ACTIONABLE	-	Deposit flow absent	restore	CASH-A2	medium	#17	no CTR equivalent
PCASH-06	PlaceCash / Fundbox	Member-to-department donation	phase9dep.pl, placecash_donations.log 186 rows	PROVEN_PRODUCTION_USE	No department donation	n/a	n/a	MISSING_ACTIONABLE	-	Donation flow absent	restore	CASH-A2	medium	#17	no CTR equivalent
PCASH-07	PlaceCash / Fundbox	Fundbox policy fields	FBS and FBP fields updated by fundbox/phase99.cfg	PROVEN_SOURCE	No FBS/FBP policy fields	n/a	n/a	MISSING_ACTIONABLE	-	Fundbox policy fields absent	restore	CASH-A2	low	#17	no CTR equivalent
PCASH-08	PlaceCash / Fundbox	Donate CityCash button on place pages	bank/ac_event.tmpl links fundbox/phase7; images/buttons/bdonatecash.gif	PROVEN_ASSET	No donate button	n/a	n/a	MISSING_ACTIONABLE	-	Place-page donate entry point absent	restore	CASH-A2	medium	#17	no CTR equivalent
MALL-01	Mall, Commerce & Objects	Object catalogue browse	object?ac=list, 344759 requests	PROVEN_PRODUCTION_USE	Object catalogue browse	api/src/services/object/object.service.ts	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	mall/ObjectCatalog.vue, object service
MALL-02	Mall, Commerce & Objects	Object purchase debit	object POST verbs; SO.TPR price	PROVEN_SOURCE	Purchase debit	TransactionReason.ObjectPurchase; object.repository.ts:142 forUpdate	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	createObjectPurchaseTransaction
MALL-03	Mall, Commerce & Objects	Seller profit credit	*ADD M ID <CRE> MON +<TPR>	PROVEN_SOURCE	Seller profit credit	TransactionReason.ObjectProfit	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	createObjectProfitTransaction
MALL-04	Mall, Commerce & Objects	Object upload fee	object/upload.cfg reads M.MON	PROVEN_SOURCE	Upload fee	TransactionReason.ObjectUpload	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	createObjectUploadTransaction
MALL-05	Mall, Commerce & Objects	Upload rejection refund	no historical evidence found	PROVEN_SOURCE	Upload rejection refund exists	TransactionReason.ObjectUploadRefund	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	CTR may EXCEED history -- no historical evidence of this refund was found	Verify before treating as a gap	restore	BACKLOG-P3	none - modern CTR behaviour	#26	createObjectUploadRefundTransaction
MALL-06	Mall, Commerce & Objects	Unsold-instance refund	no historical evidence found	PROVEN_SOURCE	Unsold-instance refund exists	TransactionReason.ObjectUnsoldInstancesRefund	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	CTR may EXCEED history -- no historical evidence found	Verify before treating as a gap	restore	BACKLOG-P3	none - modern CTR behaviour	#26	createUnsoldObjectRefundTransaction
MALL-07	Mall, Commerce & Objects	Object moderation workflow	object upload hold configs, UPL_STATUS and UBL1-50 blocklist on O 0000000000000009	PROVEN_SOURCE	Object moderation workflow	mall.controller.ts:448,650; admin/objects	Deployed @ba8c6a3	RESTORED_WITH_INTENTIONAL_MODERN_SAFETY_DIVERGENCE	Sanitised staff notices; no UBL blocklist on a magic object id	-	no action	-	none	-	mall-inspection service, staff pending/soldout/warehouse
MALL-08	Mall, Commerce & Objects	Object bytes and thumbnails	/dbobjects 42018 paths, /dbimages 5432 paths	PROVEN_PRODUCTION_USE	Objects render from live uploads	object storage	n/a	CONTENT_GAP_ONLY	n/a	46,424 historical object/image paths lost; 9 recoverable from Wayback (0.02%)	restore	ASSET-EXTERNAL	very visible - 11 percent and 4 percent survive	#23	object-source service
MALL-09	Mall, Commerce & Objects	Restock	SO.CNT decrement on purchase	PROVEN_SOURCE	Restock	TransactionReason.ObjectRestock	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	createObjectRestockTransaction, mall/creator/restock
MALL-10	Mall, Commerce & Objects	Personal storage / warehouse	storage/list.cfg, property/storlist.cfg	PROVEN_SOURCE	Personal storage	spa/src/pages/admin/user/StorageAreas.vue; storage service	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	storage components, /place/add_storage
MALL-11	Mall, Commerce & Objects	Object drop / pickup / move	object POST verbs, 39390 POSTs	PROVEN_PRODUCTION_USE	Object drop / pickup / move	object service	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	object-instance service
MALL-12	Mall, Commerce & Objects	Black market	templates/blackmarket	PROVEN_SOURCE	Black market	mall place components	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	blackmarket service and place component
MALL-13	Mall, Commerce & Objects	Flea market	templates/fleamarket, fleachatmembers.tmpl	PROVEN_SOURCE	Flea market	mall place components	Deployed @ba8c6a3	RESTORED	-	-	no action	-	none	-	fleamarket service and place component
